time_label,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
time point 109,0.322,0.0,0.286,0.0,0.0,0.143,0.071,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0
time point 110,0.297,0.0,0.148,0.074,0.0,0.111,0.074,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.0
time point 111,0.438,0.0,0.125,0.062,0.0,0.125,0.031,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0
time point 112,0.556,0.0,0.111,0.037,0.0,0.148,0.037,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 113,0.371,0.0,0.143,0.029,0.0,0.114,0.2,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 114,0.2,0.0,0.22,0.12,0.0,0.1,0.28,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 115,0.306,0.0,0.222,0.083,0.0,0.028,0.347,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 116,0.466,0.0,0.207,0.0,0.0,0.017,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 117,0.499,0.0,0.278,0.056,0.0,0.028,0.111,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 118,0.405,0.0,0.286,0.071,0.0,0.0,0.19,0.024,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 119,0.471,0.0,0.25,0.056,0.0,0.0,0.167,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 120,0.5,0.0,0.265,0.088,0.0,0.029,0.059,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
